0,1,2
-75462.73,"['Well', 'Layer', 'Top', 'Bot', 'Gross', 'Saturation', 'NetPay', 'Porosity', 'Permeability', 'Water Saturation Irreducible']","[('Well', 'Top'), ('Well', 'Bot'), ('Well', 'NetPay'), ('Layer', 'Top'), ('Layer', 'Saturation'), ('Layer', 'Porosity'), ('Layer', 'Permeability'), ('Top', 'Porosity'), ('Top', 'Water Saturation Irreducible'), ('Gross', 'Bot'), ('Gross', 'Saturation'), ('Gross', 'Porosity'), ('Gross', 'Permeability'), ('Saturation', 'Bot'), ('Permeability', 'Bot'), ('Permeability', 'NetPay'), ('Water Saturation Irreducible', 'Gross'), ('Water Saturation Irreducible', 'Porosity'), ('Water Saturation Irreducible', 'Permeability')]"
-97907.41,"['Well', 'Layer', 'Top', 'Bot', 'Gross', 'Saturation', 'NetPay', 'Porosity', 'Permeability', 'Water Saturation Irreducible']","[('Well', 'Saturation'), ('Well', 'Permeability'), ('Well', 'Water Saturation Irreducible'), ('Layer', 'Top'), ('Layer', 'Gross'), ('Layer', 'Saturation'), ('Layer', 'Water Saturation Irreducible'), ('Top', 'Saturation'), ('Top', 'NetPay'), ('Top', 'Porosity'), ('Top', 'Water Saturation Irreducible'), ('Bot', 'Permeability'), ('Saturation', 'Gross'), ('Saturation', 'Water Saturation Irreducible'), ('Porosity', 'Permeability'), ('Permeability', 'Gross'), ('Permeability', 'NetPay'), ('Water Saturation Irreducible', 'Porosity')]"
-14989.39,"['Well', 'Layer', 'Top', 'Bot', 'Gross', 'Saturation', 'NetPay', 'Porosity', 'Permeability', 'Water Saturation Irreducible']","[('Well', 'NetPay'), ('Top', 'Bot'), ('Top', 'Gross'), ('Top', 'Porosity'), ('Top', 'Permeability'), ('Bot', 'Well'), ('Bot', 'Layer'), ('Gross', 'NetPay'), ('Gross', 'Porosity'), ('Gross', 'Permeability'), ('Saturation', 'Gross'), ('Saturation', 'Permeability'), ('NetPay', 'Layer'), ('Permeability', 'Bot'), ('Permeability', 'Porosity'), ('Water Saturation Irreducible', 'Layer'), ('Water Saturation Irreducible', 'Saturation')]"
-9293.49,"['Well', 'Layer', 'Top', 'Bot', 'Gross', 'Saturation', 'NetPay', 'Porosity', 'Permeability', 'Water Saturation Irreducible']","[('Well', 'Water Saturation Irreducible'), ('Layer', 'Gross'), ('Top', 'Layer'), ('Gross', 'NetPay'), ('Porosity', 'Top'), ('Permeability', 'Bot'), ('Permeability', 'Gross'), ('Permeability', 'NetPay'), ('Water Saturation Irreducible', 'NetPay')]"
-156199.27,"['Well', 'Layer', 'Top', 'Bot', 'Gross', 'Saturation', 'NetPay', 'Porosity', 'Permeability', 'Water Saturation Irreducible']","[('Well', 'Bot'), ('Well', 'NetPay'), ('Layer', 'NetPay'), ('Layer', 'Permeability'), ('Top', 'Water Saturation Irreducible'), ('Bot', 'Permeability'), ('Gross', 'Permeability'), ('NetPay', 'Saturation'), ('Porosity', 'Well'), ('Porosity', 'Top'), ('Porosity', 'Saturation'), ('Porosity', 'NetPay'), ('Permeability', 'Water Saturation Irreducible'), ('Water Saturation Irreducible', 'NetPay')]"
-12117.31,"['Well', 'Layer', 'Top', 'Bot', 'Gross', 'Saturation', 'NetPay', 'Porosity', 'Permeability', 'Water Saturation Irreducible']","[('Well', 'Top'), ('Well', 'NetPay'), ('Well', 'Porosity'), ('Gross', 'Permeability'), ('Saturation', 'Water Saturation Irreducible'), ('NetPay', 'Layer'), ('NetPay', 'Gross'), ('Permeability', 'Layer'), ('Permeability', 'Water Saturation Irreducible'), ('Water Saturation Irreducible', 'Porosity')]"
-21115.85,"['Well', 'Layer', 'Top', 'Bot', 'Gross', 'Saturation', 'NetPay', 'Porosity', 'Permeability', 'Water Saturation Irreducible']","[('Well', 'Porosity'), ('Layer', 'NetPay'), ('Top', 'Water Saturation Irreducible'), ('Bot', 'NetPay'), ('Gross', 'NetPay'), ('Saturation', 'Well'), ('Saturation', 'Gross'), ('Saturation', 'Water Saturation Irreducible'), ('Porosity', 'Gross'), ('Permeability', 'Well'), ('Permeability', 'Layer'), ('Water Saturation Irreducible', 'Well'), ('Water Saturation Irreducible', 'Gross')]"
-58535.6,"['Well', 'Layer', 'Top', 'Bot', 'Gross', 'Saturation', 'NetPay', 'Porosity', 'Permeability', 'Water Saturation Irreducible']","[('Well', 'Saturation'), ('Well', 'Permeability'), ('Top', 'Layer'), ('Top', 'NetPay'), ('Gross', 'Layer'), ('Gross', 'Saturation'), ('Gross', 'NetPay'), ('Gross', 'Permeability'), ('Saturation', 'NetPay'), ('Saturation', 'Porosity'), ('Saturation', 'Permeability'), ('Saturation', 'Water Saturation Irreducible'), ('Permeability', 'Layer'), ('Permeability', 'Top'), ('Water Saturation Irreducible', 'Bot'), ('Water Saturation Irreducible', 'Permeability')]"
-133787.33,"['Well', 'Layer', 'Top', 'Bot', 'Gross', 'Saturation', 'NetPay', 'Porosity', 'Permeability', 'Water Saturation Irreducible']","[('Well', 'Layer'), ('Well', 'Saturation'), ('Well', 'NetPay'), ('Layer', 'Bot'), ('Layer', 'Saturation'), ('Layer', 'Water Saturation Irreducible'), ('Top', 'Gross'), ('Bot', 'Permeability'), ('Bot', 'Water Saturation Irreducible'), ('Gross', 'NetPay'), ('Gross', 'Permeability'), ('Saturation', 'Porosity'), ('Saturation', 'Permeability'), ('Permeability', 'NetPay'), ('Water Saturation Irreducible', 'NetPay'), ('Water Saturation Irreducible', 'Permeability')]"
-12556.27,"['Well', 'Layer', 'Top', 'Bot', 'Gross', 'Saturation', 'NetPay', 'Porosity', 'Permeability', 'Water Saturation Irreducible']","[('Layer', 'Bot'), ('Top', 'Bot'), ('Top', 'Saturation'), ('Top', 'Porosity'), ('Top', 'Permeability'), ('Top', 'Water Saturation Irreducible'), ('Bot', 'Gross'), ('Bot', 'Porosity'), ('Gross', 'Well'), ('Gross', 'Permeability'), ('NetPay', 'Gross'), ('NetPay', 'Saturation'), ('Water Saturation Irreducible', 'Well')]"
